Sterol,food.type,percent
campesterol,Yeast media,0.0000
stigmasterol,Yeast media,0.0540
sitosterol,Yeast media,0.1890
avenasterol,Yeast media,0.0000
lathosterol,Yeast media,0.0000
spinasterol,Yeast media,0.0000
22-dihydrospinasterol,Yeast media,0.0000
ergosterol,Yeast media,0.7480
cholesterol,Yeast media,0.0077
"cholest-8,24-dien-3-ol",Yeast media,0.0000
sitostanol­,Yeast media,0.0000
campesterol,Spinach + yeast media,0.0360
stigmasterol,Spinach + yeast media,0.0000
sitosterol,Spinach + yeast media,0.1940
avenasterol,Spinach + yeast media,0.0000
lathosterol,Spinach + yeast media,0.0000
spinasterol,Spinach + yeast media,0.0300
22-dihydrospinasterol,Spinach + yeast media,0.0710
ergosterol,Spinach + yeast media,0.5540
cholesterol,Spinach + yeast media,0.0000
"cholest-8,24-dien-3-ol",Spinach + yeast media,0.1160
sitostanol­,Spinach + yeast media,0.0000
campesterol,Rotten spinach,0.0000
stigmasterol,Rotten spinach,0.0000
sitosterol,Rotten spinach,0.0000
avenasterol,Rotten spinach,0.0300
lathosterol,Rotten spinach,0.0130
spinasterol,Rotten spinach,0.3890
22-dihydrospinasterol,Rotten spinach,0.5680
ergosterol,Rotten spinach,0.0000
cholesterol,Rotten spinach,0.0000
"cholest-8,24-dien-3-ol",Rotten spinach,0.0000
sitostanol­,Rotten spinach,0.0000
campesterol,Arabidopsis,0.1240
stigmasterol,Arabidopsis,0.0360
sitosterol,Arabidopsis,0.8400
avenasterol,Arabidopsis,0.0000
lathosterol,Arabidopsis,0.0000
spinasterol,Arabidopsis,0.0000
22-dihydrospinasterol,Arabidopsis,0.0000
ergosterol,Arabidopsis,0.0000
cholesterol,Arabidopsis,0.0000
"cholest-8,24-dien-3-ol",Arabidopsis,0.0000
sitostanol­,Arabidopsis,0.0000
