fly_id,species,vial_date,body,gut,mouthhook,dissection_date,
1,D. melanogaster,8/31/21,5.515,15.393,0.304,9/7/21,gut is ave of 2 measurements
2,D. melanogaster,8/31/21,5.504,16.819,0.32,9/7/21,gut is ave of 2 measurements
3,D. melanogaster,8/31/21,5.301,13.493,0.296,9/7/21,gut is ave of 2 measurements
4,D. melanogaster,8/31/21,5.331,18.623,0.305,9/7/21,gut is ave of 2 measurements
5,D. melanogaster,8/31/21,5.722,14.262,0.289,9/7/21,
6,S. pallida,8/17/21,3.199,6.342,0.266,9/7/21,
7,S. flava,8/23/21,3.948,8.218,0.349,9/7/21,gut is ave of 2 measurements
8,S. pallida,8/31/21,3.772,8.607,0.266,9/7/21,
9,S. pallida,8/31/21,3.627,8.436,NAN,9/9/21,
10,S. pallida,8/31/21,3.632,7.681,0.279,9/9/21,gut is ave of 2 measurements
11,S. pallida,8/31/21,3.588,6.992,0.262,9/9/21,
12,S. flava,8/28/21,4.066,7.241,0.295,9/9/21,
13,S. flava,8/28/21,3.768,7.4225,0.339,9/9/21,
14,S. flava,8/28/21,3.697,7.144,NAN,9/9/21,
15,S. flava,8/28/21,3.43,6.74,NAN,9/9/21,
16,S. pallida,8/31/21,3.115,6.209,0.266,9/14/21,
17,S. pallida,8/31/21,3.178,5.465,0.263,9/14/21,
18,S. pallida,9/2/21,3.44,5.17,0.273,9/14/21,
19,S. pallida,9/2/21,3.572,6.284,0.275,9/14/21,
20,D. melanogaster,8/31/21,5.508,16.807,0.294,9/14/21,
21,S. pallida,9/2/21,3.296,5.362,0.265,9/16/21,
22,D. melanogaster,9/9/21,5.935,17.998,0.342,9/16/21,
23,D. melanogaster,9/2/21,5.893,17.164,0.297,9/16/21,
24,D. melanogaster,9/9/21,5.262,14.007,0.277,9/16/21,
25,D. melanogaster,9/9/21,5.422,15.135,0.282,9/16/21,
26,D. melanogaster,9/9/21,5.778,16.977,0.328,9/16/21,
27,S. flava,9/20/21,2.734,7.954,0.308,10/5/21,
28,S. flava,9/20/21,4.352,10.221,NAN,10/5/21,
29,S. flava,9/20/21,3.503,8.352,0.305,10/5/21,
30,S. flava,9/20/21,3.463,8.454,0.258,10/5/21,
31,S. flava,9/20/21,4.114,10.249,0.283,10/5/21,
32,hsui,NAN,4.727,8.931,NAN,NAN,
33,hsui,NAN,3.148,NAN,NAN,NAN,
34,hsui,NAN,3.66,5.421,NAN,NAN,
35,hsui,NAN,3.938,6.848,NAN,NAN,
36,hsui,NAN,3.819,9.873,NAN,NAN,
37,hsui,NAN,3.904,6.682,NAN,NAN,
38,hsui,NAN,3.677,6.887,NAN,NAN,
39,hsui,NAN,3.858,6.084,NAN,NAN,
40,hsui,NAN,4.011,7.072,NAN,NAN,
41,hsui,NAN,3.715,7.663,0.231,NAN,
42,hsui,NAN,3.826,NAN,0.242,NAN,
43,hsui,NAN,3.942,NAN,0.229,NAN,
44,hsui,NAN,3.753,NAN,NAN,NAN,
45,hsui,NAN,4.132,NAN,0.225,NAN,
46,hsui,NAN,3.893,NAN,0.246,NAN,
47,hsui,NAN,4.109,NAN,0.228,NAN,
48,hsui,NAN,4.183,NAN,0.236,NAN,
49,hsui,NAN,4.017,NAN,0.234,NAN,
